"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"01:52:07.2258458","LightingService.exe","6180","RegQueryKey","HKU\.DEFAULT","SUCCESS","Query: Name"
"01:52:07.2258632","LightingService.exe","6180","RegOpenKey","HKU\.DEFAULT\Software\Policies\Microsoft\Control Panel\Desktop","NAME NOT FOUND","Desired Access: Read"
"01:52:07.2258865","LightingService.exe","6180","QueryOpen","C:\Program Files\ASUS\AuraSDK\AuraSdk_x86.dll","FAST IO DISALLOWED",""
"01:52:07.2258881","LightingService.exe","6180","RegQueryKey","HKU\.DEFAULT","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"01:52:07.2258995","LightingService.exe","6180","RegQueryKey","HKU\.DEFAULT","SUCCESS","Query: Name"
"01:52:07.2259092","LightingService.exe","6180","CreateFile","C:\Program Files\ASUS\AuraSDK\AuraSdk_x86.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"01:52:07.2259165","LightingService.exe","6180","RegOpenKey","HKU\.DEFAULT\Control Panel\Desktop","SUCCESS","Desired Access: Read"
"01:52:07.2259276","LightingService.exe","6180","QueryBasicInformationFile","C:\Program Files\ASUS\AuraSDK\AuraSdk_x86.dll","SUCCESS","CreationTime: 12-03-2026 09:36:10, LastAccessTime: 16-08-2026 01:51:50, LastWriteTime: 12-03-2026 09:36:10, ChangeTime: 15-08-2026 21:16:29, FileAttributes: A"
"01:52:07.2259337","LightingService.exe","6180","CloseFile","C:\Program Files\ASUS\AuraSDK\AuraSdk_x86.dll","SUCCESS",""
"01:52:07.2259364","LightingService.exe","6180","RegSetInfoKey","HKU\.DEFAULT\Control Panel\Desktop","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"01:52:07.2259415","LightingService.exe","6180","IRP_MJ_CLOSE","C:\Program Files\ASUS\AuraSDK\AuraSdk_x86.dll","SUCCESS",""
"01:52:07.2259518","LightingService.exe","6180","RegQueryValue","HKU\.DEFAULT\Control Panel\Desktop\PreferredUILanguages","NAME NOT FOUND","Length: 12"
"01:52:07.2259715","LightingService.exe","6180","RegCloseKey","HKU\.DEFAULT\Control Panel\Desktop","SUCCESS",""
"01:52:07.2259761","LightingService.exe","6180","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"01:52:07.2259808","LightingService.exe","6180","RegQueryKey","HKLM","SUCCESS","Query: Name"
